item_code,division,product_name
PW 91,Pipes & Fittings,"SWR PIPE TYPE ""A"" 3 Meter 90 mm"
PW 92,Pipes & Fittings,"SWR PIPE TYPE ""A"" 3 Meter 90 mm"
PW 93,Pipes & Fittings,"SWR PIPE TYPE ""A"" 6 Meter 90 mm"
PW 94,Pipes & Fittings,"SWR PIPE TYPE ""A"" 6 Meter 90 mm"
PW 95,Pipes & Fittings,"SWR PIPE TYPE ""A"" 2 Feet 90 mm"
PW 96,Pipes & Fittings,"SWR PIPE TYPE ""A"" 3 Feet 90 mm"
PW 97,Pipes & Fittings,"SWR PIPE TYPE ""A"" 4 Feet 90 mm"
PW 98,Pipes & Fittings,"SWR PIPE TYPE ""A"" 6 Feet 90 mm"
PW 99,Pipes & Fittings,"SWR PIPE TYPE ""A"" 6 Feet 90 mm"
SA-05,PTMT & Plastic Fittings,
TOTAL,Pipes & Fittings,
TTS - 01,PTMT & Plastic Fittings,Teflon Thread Seal (10 mtr. L) 12mm
TTS - 02,PTMT & Plastic Fittings,Teflon Thread Seal (10 mtr. L) 19mm
TTS - 03,PTMT & Plastic Fittings,Teflon Thread Seal (10 mtr. L) 12mm
U21 T,Pipes & Fittings,Ball Valve Threaded Butterfly Handle (SCH-80) 1⁄2 inch 15 mm
U22 N,Pipes & Fittings,Ball Valve Butterfly Handle (SCH-80) 3⁄4 inch 20 mm
U22 NL,Pipes & Fittings,Ball Valve Long Lever Handle (SCH-80) 3⁄4 inch 20 mm
U22 T,Pipes & Fittings,Ball Valve Threaded Butterfly Handle (SCH-80) 3⁄4 inch 20 mm
U23 N,Pipes & Fittings,Ball Valve Butterfly Handle (SCH-80) 1 inch 25 mm
U23 NL,Pipes & Fittings,Ball Valve Long Lever Handle (SCH-80) 1 inch 25 mm
U23 T,Pipes & Fittings,Ball Valve Threaded Butterfly Handle (SCH-80) 1 inch 25 mm
U24 N,Pipes & Fittings,Ball Valve Butterfly Handle (SCH-80) 1 1⁄4 inch 32 mm
U24 NL,Pipes & Fittings,Ball Valve Long Lever Handle (SCH-80) 1 1⁄4 inch 32 mm
U24 T,Pipes & Fittings,Ball Valve Threaded Butterfly Handle (SCH-80) 1 1⁄4 inch 32 mm
U25 N,Pipes & Fittings,Ball Valve Butterfly Handle (SCH-80) 1 1⁄2 inch 40 mm
U25 NL,Pipes & Fittings,Ball Valve Long Lever Handle (SCH-80) 1 1⁄2 inch 40 mm
U25 T,Pipes & Fittings,Ball Valve Threaded Butterfly Handle (SCH-80) 1 1⁄2 inch 40 mm
U26 N,Pipes & Fittings,Ball Valve Butterfly Handle (SCH-80) 2 inch 50 mm
U26 NL,Pipes & Fittings,Ball Valve Long Lever Handle (SCH-80) 2 inch 50 mm
U26 T,Pipes & Fittings,Ball Valve Threaded Butterfly Handle (SCH-80) 2 inch 50 mm
UH72,Pipes & Fittings,
UH76,Pipes & Fittings,

